,drugname,chembl,canonical
2562,BENZAMIDE,CHEMBL366975,C1CCC(CC1)C(=O)N
2563,BENZAMIDE,CHEMBL1357627,C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2I
2568,BENZAMIDE,CHEMBL206834,CC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C=C2)CN3CCC(C3)N(C)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CN=C5
2570,BENZAMIDE,CHEMBL249097,CC1=C(C=C(C=C1)O)NC2=NC(=NC=C2)NC3=CC=CC(=C3)C(=O)N
2574,BENZBROMARONE,CHEMBL388590,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
2643,BENZETHONIUM,CHEMBL221753,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2
2644,BENZETHONIUM,CHEMBL221753,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-]
2647,BENZO(A)PYRENE,CHEMBL31184,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
2650,BENZO(A)PYRENE DIOLEPOXIDE I,CHEMBL1743211,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4C6C(O6)C(C5O)O)C=C2
2654,"BENZO(A)PYRENE-6,12-QUINONE",CHEMBL1977197,C1=CC=C2C(=C1)C3=CC(=O)C4=CC=CC5=C4C3=C(C2=O)C=C5
2655,BENZO(B)FLUORANTHENE,CHEMBL1337502,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1
2657,BENZO(E)PYRENE,CHEMBL1371125,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4
2658,BENZO(K)FLUORANTHENE,CHEMBL1441574,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1
2696,BENZOYL PEROXIDE,CHEMBL1200370,C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
2701,BENZOYLACETONE,CHEMBL3186793,CC(=O)CC(=O)C1=CC=CC=C1
2702,BENZOYLCARBONYL-ASPARTYL-GLUTAMYL-VALYL-ASPARTYL-FLUOROMETHYL KETONE,CHEMBL3963349,CC(C)C(C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)C(CCC(=O)OC)NC(=O)C(CC(=O)OC)NC(=O)OCC1=CC=CC=C1
2705,BENZYL BROMIDE,CHEMBL1085946,C1=CC=C(C=C1)CBr
2706,BENZYL CINNAMATE,CHEMBL2361576,C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2
2707,BENZYL CINNAMATE,CHEMBL361197,C1=CC=C(C=C1)COC(=O)C=CC2=CC=CC=C2
2709,BENZYL SALICYLATE,CHEMBL460124,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
2710,BENZYLIDENEACETONE,CHEMBL3187978,CC(=O)C=CC1=CC=CC=C1
2711,BENZYLIDENEACETONE,CHEMBL73639,CC(=O)C=CC1=CC=CC=C1
2716,BENZYLOXYCARBONYL-VALYL-ALANYL-ASPARTYL-FLUOROMETHANE,CHEMBL205821,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)CF)NC(=O)OCC1=CC=CC=C1
2718,BENZYLOXYCARBONYLLEUCYL-LEUCYL-LEUCINE ALDEHYDE,CHEMBL64925,CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1
2746,BERGENIN,CHEMBL1619590,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
2747,BERGENIN,CHEMBL273019,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
2748,BERGENIN,CHEMBL3181911,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O.O
2751,BERGENIN,CHEMBL1402585,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O.O
2752,BERGENIN,CHEMBL1616426,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
2754,BERGENIN,CHEMBL1512567,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
2764,BERYLLIUM SULFATE,CHEMBL3305984,[Be+2].[O-]S(=O)(=O)[O-]
2765,BERYLLIUM SULFATE,CHEMBL3184656,[Be+2].O.O.O.O.[O-]S(=O)(=O)[O-]
2768,BETA CAROTENE,CHEMBL1231255,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
2769,BETA CAROTENE,CHEMBL1293,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
2774,BETA CAROTENE,CHEMBL3774468,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
2781,BETA CAROTENE,CHEMBL1966639,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
2788,BETA-DAMASCENONE,CHEMBL3733030,CC=CC(=O)C1=C(C=CCC1(C)C)C
2789,BETA-ENDORPHIN,CHEMBL1866903,CCC(C)C(C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(C)NC(=O)C(CC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C3CCCN3C(=O)C(C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CCSC)NC(=O)C(CC4=CC=CC=C4)NC(=O)CNC(=O)CNC(=O)C(CC5=CC=C(C=C5)O)N
2795,BETA-ENDORPHIN,CHEMBL2369948,CCC(C)C(C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(C)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(C)NC(=O)C(CC(=O)N)NC(=O)C(CCCCN)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C3CCCN3C(=O)C(C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CCSC)NC(=O)C(CC4=CC=CC=C4)NC(=O)CNC(=O)CNC(=O)C(CC5=CC=C(C=C5)O)N
2797,BETA-EUDESMOL,CHEMBL88244,CC12CCCC(=C)C1CC(CC2)C(C)(C)O
2808,BETA-IONONE,CHEMBL3184146,CC1=C(C(CCC1)(C)C)C=CC(=O)C
2809,BETA-IONONE,CHEMBL559945,CC1=C(C(CCC1)(C)C)C=CC(=O)C
2810,BETA-IONONE,CHEMBL472877,CC1=CCCC(C1C=CC(=O)C)(C)C
2811,BETA-LAPACHONE,CHEMBL15192,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C
2813,BETA-METHYLCHOLINE,CHEMBL107582,CC(C[N+](C)(C)C)O
2816,BETA-NITROSTYRENE,CHEMBL3187573,C1=CC=C(C=C1)C=C[N+](=O)[O-]
2817,BETA-NITROSTYRENE,CHEMBL230156,C1=CC=C(C=C1)C=C[N+](=O)[O-]
2822,BETA-TRICALCIUM PHOSPHATE,CHEMBL2106566,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
2857,BETULIN,CHEMBL14688,CO
2858,BETULIN,CHEMBL23236,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO
2860,BETULIN,CHEMBL140040,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO
2871,BETULIN,CHEMBL1610940,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO
2898,BETULINIC ACID,CHEMBL269277,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
2899,BETULINIC ACID,CHEMBL37,CC(C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
2900,BETULINIC ACID,CHEMBL1171266,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)OC(=O)CCCC(=O)O)C)C(=O)O
2901,BETULINIC ACID,CHEMBL2235167,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)OC(=O)N6CCOCC6
2902,BETULINIC ACID,CHEMBL519059,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
2905,BETULINIC ACID,CHEMBL1318530,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
2915,BETULINIC ACID,CHEMBL3601028,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)[O-]
2934,BICYCLOL,CHEMBL482035,COC1=C2C(=C(C(=C1)CO)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2
2936,BIFENDATE,CHEMBL105184,COC1=C2C(=C(C(=C1)C(=O)OC)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2
2938,BIFENTHRIN,CHEMBL68000,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl
2939,BIFENTHRIN,CHEMBL2227975,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl
2940,BIFENTHRIN,CHEMBL44019,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl
2959,BILIVERDINE,CHEMBL455477,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O
2966,BIOALLETHRIN,CHEMBL1872535,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C
2967,BIOALLETHRIN,CHEMBL1887350,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C
2968,BIOALLETHRIN,CHEMBL1788403,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C
2969,BIOCHANIN A,CHEMBL131921,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
2973,BIOFUELS,CHEMBL17564,C
2987,BIS(4-HYDROXYCINNAMOYL)METHANE,CHEMBL105350,C1=CC(=CC=C1C=CC(=O)CC(=O)C=CC2=CC=C(C=C2)O)O
2988,BIS(4-HYDROXYPHENYL)SULFONE,CHEMBL384441,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O
3015,BISPHENOL A-GLYCIDYL METHACRYLATE,CHEMBL1600257,CC(=C)C(=O)OCC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)OCC(COC(=O)C(=C)C)O)O
3016,BISPHENOL F,CHEMBL138061,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O
3017,BISPHENOL F,CHEMBL148831,C1=CC=C(C(=C1)CC2=CC=CC=C2O)O
3018,BLEOMYCETIN,CHEMBL2002141,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCCNCCCCN)O
3041,BLOOD GLUCOSE,CHEMBL448805,C(C(C(C(C(C=O)O)O)O)O)O
3043,BOLDINE,CHEMBL388342,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O
3045,BOLDINE,CHEMBL1321247,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O
3046,BOLDINE,CHEMBL1437753,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O
3049,BORIC ACID,CHEMBL42403,B(O)(O)O
3073,BP-1-102,CHEMBL1829876,CN(CC(=O)N(CC1=CC=C(C=C1)C2CCCCC2)C3=CC(=C(C=C3)C(=O)O)O)S(=O)(=O)C4=C(C(=C(C(=C4F)F)F)F)F
3075,BQ 788,CHEMBL1741040,CCCCC(C(=O)O)NC(=O)C(CC1=CN(C2=CC=CC=C21)C(=O)OC)NC(=O)C(CC(C)(C)C)NC(=O)N3C(CCCC3C)C
3076,BQ 788,CHEMBL1515091,CCCCC(C(=O)[O-])NC(=O)C(CC1=CN(C2=CC=CC=C21)C(=O)OC)NC(=O)C(CC(C)(C)C)NC(=O)N3C(CCCC3C)C.[Na+]
3080,"BRADYKININ, DES-ARG(9)-",CHEMBL1890370,C1CC(N(C1)C(=O)C2CCCN2C(=O)C(CCCN=C(N)N)N)C(=O)NCC(=O)NC(CC3=CC=CC=C3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(CC5=CC=CC=C5)C(=O)O
3100,BREVETOXIN 2,CHEMBL413858,CC1CC2C(CC3(C(O2)CC4C(O3)C(=CC(=O)O4)C)C)OC5C1OC6CC7C(CC8C(O7)(CC=CC9C(O8)CC1C(O9)CC2C(O1)(C(CC(O2)CC(=C)C=O)O)C)C)(OC6(CC5)C)C
3115,BRL 44408,CHEMBL216097,CC1C2=CC=CC=C2CN1CC3=NCCN3
3117,BROMFENACOUM,CHEMBL233451,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br
3136,BROMOBENZENE,CHEMBL16068,C1=CC=C(C=C1)Br
3149,BROMODICHLOROMETHANE,CHEMBL346231,C(Cl)(Cl)Br
3152,BRUCINE,CHEMBL3039186,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC
3155,BRUCINE,CHEMBL501756,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC
3157,BRUCINE,CHEMBL2361237,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC
3164,BRUSATOL,CHEMBL1702665,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O
3170,BRUSATOL,CHEMBL450464,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O
3176,BRYOSTATIN 1,CHEMBL449158,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O
3178,BRYOSTATIN 1,CHEMBL4296873,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O
3179,BRYOSTATIN 1,CHEMBL1891118,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O
3185,BRYOSTATIN 1,CHEMBL281926,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(OC(=O)CC(CC3CC(C(C(O3)(CC4CC(=CC(=O)OC)CC(O4)C=CC(C1(O2)O)(C)C)O)(C)C)OC(=O)C)O)C(C)O
3195,BUCILLAMINE,CHEMBL80830,CC(C)(C(=O)NC(CS)C(=O)O)S
3196,BUCLADESINE,CHEMBL1371908,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC
3197,BUCLADESINE,CHEMBL485980,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC
3203,BUCLADESINE,CHEMBL1522836,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)[O-])OC(=O)CCC.[Na+]
3204,BUCLADESINE,CHEMBL1876736,CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)[O-])OC(=O)CCC.O.[Na+]
3233,BUDLEIN A,CHEMBL1173297,CC=C(C)C(=O)OC1CC2(C(=O)C=C(O2)C(=CC3C1C(=C)C(=O)O3)CO)C
3234,BUDLEIN A,CHEMBL189707,CC=C(C)C(=O)OC1CC2(C(=O)C=C(O2)C(=CC3C1C(=C)C(=O)O3)CO)C
3239,BUFALIN,CHEMBL399680,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=COC(=O)C=C5)O)C)O
3267,BUTAFENACIL,CHEMBL2140532,CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
3268,BUTAFENACIL,CHEMBL1867342,CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl
3270,BUTAPROST,CHEMBL271896,CCCC1(CCC1)C(CC=CC2C(CC(=O)C2CCCCCCC(=O)OC)O)O
3272,BUTAPROST,CHEMBL1628262,CCCC1(CCC1)C(CC=CC2C(CC(=O)C2CCCCCCC(=O)O)O)O
3274,BUTAPROST,CHEMBL432522,CCCC1(CCC1)C(CC=CC2C(CC(=O)C2CCCCCCC(=O)OC)O)O
3277,BUTEIN,CHEMBL128000,C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O
3282,BUTHIONINE SULFOXIMINE,CHEMBL1256575,CCCCS(=N)(=O)CCC(C(=O)O)N
3283,BUTHIONINE SULFOXIMINE,CHEMBL261642,CCCCS(=N)(=O)CCC(C(=O)O)N
3286,BUTRALIN,CHEMBL1256669,CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-]
3287,BUTYL BROMIDE,CHEMBL160949,CCCCBr
3296,BUTYLATED HYDROXYTOLUENE,CHEMBL146,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
3297,BUTYLBENZYL PHTHALATE,CHEMBL1450327,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
3299,BUTYLHYDROXYBUTYLNITROSAMINE,CHEMBL164923,CCCCN(CCCCO)N=O
3300,BUTYLOXYCARBONYL-PHENYLALANYL-LEUCYL-PHENYLALANYL-LEUCYL-PHENYLALANINE,CHEMBL3311030,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CC3=CC=CC=C3)NC(=O)OC(C)(C)C
3301,BUTYLPARABEN,CHEMBL459008,CCCCOC(=O)C1=CC=C(C=C1)O
3302,BUTYLPHEN,CHEMBL16217,CC(C)(C)C1=CC=C(C=C1)O
3304,BUTYRALDEHYDE,CHEMBL1478334,CCCC=O
3308,BUTYRATES,CHEMBL62381,CCCC(=O)[O-]
3323,CACOSPONGIONOLIDE B,CHEMBL111739,CC1CCC2(C(C1(C)CCC3=CCC(OC3)C4=CC(=O)OC4O)CCCC2=C)C
3362,CAFFEIC ACID PHENETHYL ESTER,CHEMBL319244,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
3363,CAFFEIC ACID PHENETHYL ESTER,CHEMBL133714,C1=CC=C(C=C1)COC(=O)C=CC2=CC(=C(C=C2)O)O
3401,CALCIMYCIN,CHEMBL1434752,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
3402,CALCIMYCIN,CHEMBL1531974,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
3403,CALCIMYCIN,CHEMBL1394992,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
3408,CALCIMYCIN,CHEMBL1256686,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC
3412,CALCITONIN GENE-RELATED PEPTIDE (8-37),CHEMBL525571,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCNC(=N)N)C(=O)NC(CO)C(=O)NCC(=O)NCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)CNC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC4=CN=CN4)NC(=O)C(C(C)O)NC(=O)C(C(C)C)N
3490,CALCIUM PHOSPHATE,CHEMBL2218916,[OH-].[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2].[Ca+2].[Ca+2]
3491,CALCIUM PHOSPHATE,CHEMBL2107567,OP(=O)([O-])[O-].[Ca+2]
3493,CALCIUM PHOSPHATE,CHEMBL2106566,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
3502,CALMIDAZOLIUM,CHEMBL1208858,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl
3504,CALMIDAZOLIUM,CHEMBL1208858,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)N3C=C[N+](=C3)CC(C4=C(C=C(C=C4)Cl)Cl)OCC5=C(C=C(C=C5)Cl)Cl)Cl.[Cl-]
3505,CALMIDAZOLIUM,CHEMBL1209848,C=C(C1COC2(CCCCC2)OO1)C3=CC=C(C=C3)OC4=CC=CC5=CC=CC=C54
3506,CALPAIN INHIBITOR III,CHEMBL286722,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2
3507,CALPAIN INHIBITOR III,CHEMBL412423,C1=CC=C(C=C1)CC(C=O)NC(=O)OCC2=CC=CC=C2
3510,CALPAIN INHIBITOR III,CHEMBL423112,CC(C)C(C(=O)NC(CC1=CC=CC=C1)C=O)NC(=O)OCC2=CC=CC=C2
3512,CALPHOSTIN C,CHEMBL261214,CC(CC1=C2C3=C(C(=C(C4=C3C(=C5C2=C(C(=O)C=C5OC)C(=C1OC)O)C(=CC4=O)OC)O)OC)CC(C)OC(=O)OC6=CC=C(C=C6)O)OC(=O)C7=CC=CC=C7
3514,CALPHOSTIN C,CHEMBL460433,CC(CC1=C2C3=C(C(=C(C4=C3C(=C5C2=C(C(=O)C=C5OC)C(=C1OC)O)C(=CC4=O)OC)O)OC)CC(C)OC(=O)OC6=CC=C(C=C6)O)OC(=O)C7=CC=CC=C7
3517,CALYCOPTERIN,CHEMBL512767,COC1=C(C(=C2C(=C1O)C(=O)C(=C(O2)C3=CC=C(C=C3)O)OC)OC)OC
3518,CAMOSTAT,CHEMBL85164,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N
3547,CANNABIDIOL,CHEMBL190461,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
3550,CANNABIDIOL,CHEMBL3810140,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
3551,CANNABIDIOL,CHEMBL236171,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
3556,CANNABINOL,CHEMBL74415,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O
3557,CAP18 LIPOPOLYSACCHARIDE-BINDING PROTEIN,CHEMBL530345,CCC(C)C(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)CC)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CC(C)C)N
3563,CAPSAZEPINE,CHEMBL391997,C1CC2=CC(=C(C=C2CN(C1)C(=S)NCCC3=CC=C(C=C3)Cl)O)O
3569,CAPTAX,CHEMBL111654,C1=CC=C2C(=C1)NC(=S)S2
3596,CARBENDAZIM,CHEMBL70971,COC(=O)NC1=NC2=CC=CC=C2N1
3630,CARBOFURAN,CHEMBL416081,CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C
3631,CARBON,CHEMBL17564,C
3635,CARBON DISULFIDE,CHEMBL1365180,C(=S)=S
3645,CARBON TETRACHLORIDE,CHEMBL44814,C(Cl)(Cl)(Cl)Cl
